Country,Population,O+,A+,B+,AB+,O-,A-,B-,AB-,Continent,Rarest_Blood_Type,Diversity_Index
Mongolia,3198913.0,36.4,29.2,8.1,0.0,13.3,8.0,2.0,0.01,Asia,AB+,1.4956968072511638
Morocco,35561654.0,42.3,30.8,14.0,4.0,4.5,3.1,1.5,0.4,Africa,AB-,1.4602446786298504
Myanmar,56590071.0,35.7,23.8,32.7,6.95,0.3,0.2,0.3,0.05,Asia,AB-,1.3112826048630775
Namibia,2678191.0,50.58,20.49,20.21,1.02,4.22,1.71,1.69,0.08,Africa,AB-,1.317317481442313
Nepal,30327877.0,35.2,36.3,27.1,2.6,0.3,0.2,0.2,0.1,Asia,AB-,1.2289112997255005
Netherlands,17280397.0,38.2,36.6,7.7,2.5,6.8,6.4,1.3,0.5,Europe,AB-,1.4668093208689217
New Zealand,4925477.0,39.0,31.0,10.0,2.0,10.9,6.0,1.0,0.1,Oceania,AB-,1.5021455306092155
Nicaragua,6243931.0,62.0,20.0,11.0,4.0,1.0,1.0,0.7,0.3,North America,AB-,1.134088801117269
Nigeria,219463862.0,50.23,21.61,19.59,3.47,2.7,1.16,1.05,0.19,Africa,AB-,1.3218718906930456
North Korea,25643466.0,27.15,31.08,30.15,11.32,0.08,0.1,0.1,0.03,Asia,AB-,1.3472129847864402
North Macedonia,2125971.0,30.0,34.0,15.0,6.0,5.0,6.0,3.0,1.0,Europe,AB-,1.6511994623655035
Norway,5467439.0,33.2,41.6,6.8,3.4,5.8,7.4,1.2,0.6,Europe,AB-,1.4702866711226275
Pakistan[citation needed],238181034.0,30.04,21.53,30.24,8.83,3.1,2.22,3.13,0.91,Unknown,AB-,1.6113012382779692
Papua New Guinea,7259456.0,55.7,32.2,9.6,2.1,1.8,0.5,0.2,0.1,Oceania,AB-,1.1128367223846651
Paraguay,7272639.0,63.07,21.32,4.72,1.38,5.89,2.97,0.49,0.15,South America,AB-,1.1305067207288193
Peru,31914989.0,70.0,18.4,7.8,1.6,1.4,0.5,0.28,0.02,South America,AB-,0.9307111180516713
Philippines,109180815.0,45.9,22.9,24.9,5.97,0.1,0.1,0.1,0.03,Asia,AB-,1.2325811927542178
Poland,38282325.0,31.0,32.0,15.0,7.0,6.0,6.0,2.0,1.0,Europe,AB-,1.6603033431840144
Portugal,10302674.0,36.2,39.8,6.6,2.9,6.1,6.8,1.1,0.5,Europe,AB-,1.44608951692515
People's Republic of China,1397897720.0,34.0,27.6,28.9,8.4,0.4,0.25,0.2,0.15,Asia,AB-,1.3485080627424655
Romania,21230362.0,28.0,37.0,14.0,7.0,5.0,6.0,2.0,1.0,Europe,AB-,1.6285911514940759
Russia,145478097.0,36.0,31.0,19.0,2.1,6.0,4.0,1.0,0.9,Europe,AB-,1.5135341465149974
Saudi Arabia,34173498.0,47.8,16.0,17.9,4.0,4.0,2.0,1.0,0.3,Asia,AB-,1.382506640545191
Serbia,7012165.0,31.92,35.28,12.6,4.2,6.08,6.72,2.4,0.8,Europe,AB-,1.6060566592273564
Singapore,6209660.0,44.7,23.9,24.5,5.6,0.6,0.3,0.3,0.1,Asia,AB-,1.2804666114662375
